Time,Estado,Edicao,Pontos,Jogos,Vitorias,Empates,Derrotas,Gols_Pro,Gols_Contra
América-MG,mg,2011,37,38,8,13,17,51,69
América-MG,mg,2016,28,38,7,7,24,23,58
América-MG,mg,2018,40,38,10,10,18,30,47
América-MG,mg,2021,53,38,13,14,11,41,37
América-RN,rn,2007,17,38,4,5,29,24,80
Athletico-PR,pr,2021,47,38,13,8,17,41,45
Athletico-PR,pr,2020,53,38,15,8,15,38,36
Athletico-PR,pr,2019,64,38,18,10,10,51,32
Athletico-PR,pr,2018,57,38,16,9,13,54,37
Athletico-PR,pr,2016,57,38,17,6,15,38,32
Athletico-PR,pr,2015,51,38,14,9,15,43,48
Athletico-PR,pr,2014,54,38,15,9,14,43,42
Athletico-PR,pr,2013,64,38,18,10,10,65,49
Athletico-PR,pr,2017,51,38,14,9,15,45,43
Athletico-PR,pr,2010,60,38,17,9,12,43,45
Athletico-PR,pr,2009,48,38,13,9,16,42,49
Athletico-PR,pr,2008,45,38,12,9,17,45,54
Athletico-PR,pr,2007,54,38,14,12,12,51,50
Athletico-PR,pr,2006,48,38,13,9,16,61,62
Athletico-PR,pr,2005,61,42,18,7,17,76,67
Athletico-PR,pr,2004,86,46,25,11,10,93,56
Athletico-PR,pr,2003,61,46,17,10,19,66,72
Athletico-PR,pr,2011,41,38,10,11,17,38,55
Atlético-GO,go,2021,53,38,13,14,11,33,36
Atlético-GO,go,2020,50,38,12,14,12,40,45
Atlético-GO,go,2017,36,38,9,9,20,38,56
Atlético-GO,go,2012,30,38,7,9,22,37,67
Atlético-GO,go,2010,42,38,11,9,18,51,57
Atlético-GO,go,2011,48,38,12,12,14,50,45
Atlético-MG,mg,2014,62,38,17,11,10,51,38
Atlético-MG,mg,2021,84,38,26,6,6,67,34
Atlético-MG,mg,2020,68,38,20,8,10,64,45
Atlético-MG,mg,2019,48,38,13,9,16,45,49
Atlético-MG,mg,2018,59,38,17,8,13,56,43
Atlético-MG,mg,2017,54,38,14,12,12,52,49
Atlético-MG,mg,2016,62,37,17,11,9,61,50
Atlético-MG,mg,2015,69,38,21,6,11,65,47
Atlético-MG,mg,2013,57,38,15,12,11,49,38
Atlético-MG,mg,2006,0,0,0,0,0,0,0
Atlético-MG,mg,2011,45,38,13,6,19,50,60
Atlético-MG,mg,2010,45,38,13,6,19,52,64
Atlético-MG,mg,2009,56,38,16,8,14,55,56
Atlético-MG,mg,2008,48,38,12,12,14,50,61
Atlético-MG,mg,2007,55,38,15,10,13,63,51
Atlético-MG,mg,2005,47,42,13,8,21,54,59
Atlético-MG,mg,2004,53,46,12,17,17,60,66
Atlético-MG,mg,2003,72,46,19,15,12,76,62
Atlético-MG,mg,2012,72,38,20,12,6,64,37
Avaí,sc,2019,20,38,3,11,24,18,62
Avaí,sc,2017,43,38,10,13,15,29,48
Avaí,sc,2010,43,38,11,10,17,49,58
Avaí,sc,2011,31,38,7,10,21,45,75
Avaí,sc,2009,57,38,15,12,11,61,52
Avaí,sc,2015,42,38,11,9,18,38,60
Bahia,ba,2019,49,38,12,13,13,44,43
Bahia,ba,2021,43,38,11,10,17,42,51
Bahia,ba,2020,44,38,12,8,18,48,59
Bahia,ba,2018,48,38,12,12,14,39,41
Bahia,ba,2011,46,38,11,13,14,43,49
Bahia,ba,2014,37,38,9,10,19,31,43
Bahia,ba,2013,48,38,12,12,14,37,45
Bahia,ba,2012,47,38,11,14,13,37,41
Bahia,ba,2003,46,46,12,10,24,59,92
Bahia,ba,2017,50,38,13,11,14,50,48
Botafogo,rj,2014,34,38,9,7,22,31,48
Botafogo,rj,2020,27,38,5,12,21,32,62
Botafogo,rj,2019,43,38,13,4,21,31,45
